GEOID,avg_tmax_jun,avg_tmax_jul,avg_tmax_aug,avg_tmax_sep,avg_tmax_oct,avg_rhum_jun,avg_rhum_jul,avg_rhum_aug,avg_rhum_sep,avg_rhum_oct,avg_smoke_pm_jun,avg_smoke_pm_jul,avg_smoke_pm_aug,avg_smoke_pm_sep,avg_smoke_pm_oct,avg_wnd_jun,avg_wnd_jul,avg_wnd_aug,avg_wnd_sep,avg_wnd_oct,POPULATION_2020,POP20_SQMI,EP_POV150,EP_UNEMP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_LIMENG,EP_MINRTY,RPL_THEMES,E_NOINT
06001401100,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.1308669711650062,6.900780985882392,25.460118319348112,6.033351591931928,4.251617177817621,4.106240540162774,3.6031236200372887,2.141378615302977,2.65725592644738,4966,14605.9,20.4,6.1,10.6,6.2,12.3,2.8,47.9,0.4431,121
06001401200,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.14456271450078018,6.920881683701423,25.34478734891892,6.174861283846725,4.248406812141351,4.103935335277355,3.600945211044511,2.139945270939141,2.6544020657622567,2989,11496.2,14.4,6.4,4.1,7.8,11.4,1.4,36.2,0.1537,58
06001401300,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07426832003413969,6.81771339652602,25.936731906494977,5.448552542478265,4.254254401828894,4.106675717795584,3.6042974245851425,2.1462535181441753,2.65778286183728,5887,17839.4,24.6,5.8,4.0,14.2,7.3,8.0,61.0,0.665,435
06001401400,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.257700645882991,4.109479598814037,3.606775912522167,2.146961582490123,2.6612530758653636,5355,18465.5,40.1,8.1,11.6,6.7,14.2,4.0,74.0,0.7092,288
06001401500,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.261475833652221,4.112470165640658,3.609457830911752,2.1479389851888233,2.6649567352709984,2661,14783.3,26.1,8.8,6.9,9.4,11.4,4.1,67.1,0.5977,442
06001401600,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.262443447510938,4.112515105472692,3.609839810366783,2.15002831510901,2.6650017408333606,2971,11884.0,29.7,12.0,12.5,7.4,17.9,9.8,82.5,0.8435,534
06001401700,23.583333651224773,22.111288932061964,23.553227639967396,25.910000610351563,25.366129229145667,77.75333353678386,83.66774183704007,82.74838638305664,80.1733336130778,74.38709677419355,0.0,0.07530577699742431,6.8236248940247695,25.891938167636415,5.4574433679620045,4.2747918636032205,4.121656702250871,3.6183478665732953,2.1548529501908233,2.6763169302483507,6121,2757.2,20.8,6.8,12.0,8.5,15.7,3.8,62.1,0.4817,182
06001401800,23.583333651224773,22.111288932061964,23.553227639967396,25.910000610351563,25.366129229145667,77.75333353678386,83.66774183704007,82.74838638305664,80.1733336130778,74.38709677419355,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.272496944301963,4.1188815974051725,3.6163087008106998,2.1567198297779306,2.672853832956247,1981,16508.3,22.4,5.1,9.8,7.4,16.1,4.0,66.5,0.4281,123
06001402200,23.583333651224773,22.111288932061964,23.553227639967396,25.910000610351563,25.366129229145667,77.75333353678386,83.66774183704007,82.74838638305664,80.1733336130778,74.38709677419355,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.271631816717457,4.1178838909093605,3.6155607415142903,2.157297774798862,2.6716118421124966,3250,11607.1,27.4,7.2,4.6,9.0,19.6,7.8,71.3,0.5469,131
06001402400,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.263448767267911,4.112615210030629,3.6102591244410305,2.1520658139534277,2.6651152813953876,2459,18915.4,37.5,8.5,11.7,15.5,12.8,7.3,77.9,0.7997,510
06001402500,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.265272220582944,4.113199150219153,3.611189962278019,2.1547393771852863,2.6658242363114106,2010,14357.1,46.2,12.6,4.5,11.1,23.0,4.5,92.7,0.8011,247
06001402600,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.262701295803818,4.111162089343868,3.609363069625543,2.154069883139058,2.663306558673635,1226,10216.7,41.0,4.4,8.8,26.1,15.2,24.7,89.4,0.863,217
06001402700,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.260621008164097,4.110365350377853,3.6082459716312747,2.151355029738373,2.6623325298977223,1827,12180.0,27.0,2.3,10.2,8.5,11.4,10.0,72.0,0.5101,260
06001402801,24.306666310628255,24.066125869750977,26.88225801529423,26.89000040690104,26.091936603669197,82.36666628519694,86.23548372330204,82.89354890392673,77.08333295186361,67.44516138876638,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.198101089394501,4.058854681513514,3.563160509426742,2.1395372941527584,2.5991273974720452,2941,26736.4,18.5,7.8,2.3,15.5,15.9,2.7,68.2,0.7793,398
06001403000,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.255138318306408,4.106017237586595,3.6043504600891683,2.149935096949983,2.6569595793804868,3007,21478.6,45.6,9.9,3.7,41.0,6.4,39.4,92.5,0.9686,840
06001403100,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.07408836075375143,6.817449277447111,25.938247331976903,5.446693133923313,4.25787391711177,4.107206108073866,3.6058786400846086,2.1531422873009296,2.6584200593792224,1690,13000.0,26.9,10.3,5.4,10.6,6.4,11.9,70.4,0.6081,207
